store_id,city,region,month,year,quarter,digital_ad_spend_lakh,offline_ad_spend_lakh,store_footfall,gold_price_index,discount_pct,festival_month,returning_customer_pct,inventory_availability_pct,avg_transaction_value_lakh,birthday_customers_count,anniversary_customers_count,wedding_leads_count,noise_lakh,sales_lakh
STR-09,Jaipur,North,2024-01-01,2024,Q1,11.95,5.18,3368,99.17,2.36,0,47.9,87.96,0.88,56,12,21,1.58,123.0
STR-10,Kochi,South,2024-01-01,2024,Q1,16.93,9.48,2427,99.16,9.87,0,52.87,87.06,1.46,60,31,14,0.31,147.59
STR-01,Mumbai,West,2024-02-01,2024,Q1,17.52,11.86,1233,101.04,7.2,0,62.4,84.6,1.76,79,25,18,-9.22,114.55
STR-02,Delhi,North,2024-02-01,2024,Q1,6.23,11.42,3037,98.81,5.34,0,38.57,84.59,1.63,18,48,4,7.85,118.0
STR-03,Bengaluru,South,2024-02-01,2024,Q1,19.56,6.72,2744,102.01,3.2,0,45.87,98.13,1.99,25,28,27,-4.54,127.42
STR-04,Chennai,South,2024-02-01,2024,Q1,16.69,10.05,2858,102.41,2.11,0,39.94,89.03,0.79,42,40,8,8.07,124.81
STR-05,Hyderabad,South,2024-02-01,2024,Q1,21.82,8.56,1421,105.9,3.42,0,49.03,86.24,0.67,73,45,26,-1.59,115.96
STR-06,Pune,West,2024-02-01,2024,Q1,12.98,4.51,1696,105.07,2.45,0,40.85,84.13,1.26,27,52,21,-0.16,98.07
STR-07,Kolkata,East,2024-02-01,2024,Q1,6.43,5.44,3086,102.38,8.49,0,57.47,94.02,0.63,74,40,14,0.95,123.11
STR-08,Ahmedabad,West,2024-02-01,2024,Q1,10.75,11.44,1761,103.69,10.52,0,51.18,97.1,1.4,48,13,29,-3.83,125.97
STR-09,Jaipur,North,2024-02-01,2024,Q1,13.48,8.31,2244,99.99,11.17,0,55.97,81.73,1.04,22,22,9,-11.4,120.6
STR-10,Kochi,South,2024-02-01,2024,Q1,20.77,7.48,1993,101.98,2.07,0,42.56,92.76,1.47,36,40,33,2.89,133.55
STR-01,Mumbai,West,2024-03-01,2024,Q1,13.12,10.61,2592,103.21,11.63,1,61.72,96.2,0.72,78,30,25,-1.44,153.11
STR-02,Delhi,North,2024-03-01,2024,Q1,14.4,9.54,1984,105.85,4.88,1,59.88,93.75,1.05,82,8,7,-11.02,118.91
STR-03,Bengaluru,South,2024-03-01,2024,Q1,18.21,7.9,3175,100.65,11.78,1,47.64,94.67,0.67,83,17,20,7.25,172.64
STR-04,Chennai,South,2024-03-01,2024,Q1,20.72,11.23,1520,99.73,2.49,1,36.15,92.18,1.58,17,37,27,8.77,145.65
STR-05,Hyderabad,South,2024-03-01,2024,Q1,17.57,11.01,1893,98.35,8.22,1,64.61,78.09,1.3,18,19,24,-11.29,140.02
STR-06,Pune,West,2024-03-01,2024,Q1,11.82,11.96,2488,98.38,10.53,1,45.23,95.92,0.98,62,39,21,-2.47,152.32
STR-07,Kolkata,East,2024-03-01,2024,Q1,9.67,11.87,3153,96.85,5.42,1,59.27,94.96,2.0,28,36,12,-2.21,153.89
STR-08,Ahmedabad,West,2024-03-01,2024,Q1,7.33,8.75,1385,103.01,7.95,1,46.91,97.22,1.27,84,23,8,-3.23,122.11
STR-09,Jaipur,North,2024-03-01,2024,Q1,6.14,5.02,2343,100.53,8.35,1,45.05,86.83,1.94,16,51,26,0.98,139.13
STR-10,Kochi,South,2024-03-01,2024,Q1,9.84,11.97,1904,99.25,11.09,1,52.12,93.59,1.41,31,35,23,-4.81,148.67
STR-01,Mumbai,West,2024-04-01,2024,Q2,9.1,6.22,1361,104.74,4.83,1,53.34,94.63,1.69,25,36,17,-0.57,111.71
STR-02,Delhi,North,2024-04-01,2024,Q2,21.91,9.75,1564,105.03,9.88,1,39.04,89.81,0.7,72,27,23,10.93,156.59
STR-03,Bengaluru,South,2024-04-01,2024,Q2,13.72,7.33,1263,105.6,3.03,1,33.56,83.17,0.65,17,52,17,0.39,105.45
STR-04,Chennai,South,2024-04-01,2024,Q2,10.31,3.51,3116,99.85,2.61,1,58.53,82.35,0.99,22,30,15,-2.0,124.8
STR-05,Hyderabad,South,2024-04-01,2024,Q2,5.03,4.12,1978,96.01,7.08,1,50.6,84.99,1.18,75,32,27,8.19,130.63
STR-06,Pune,West,2024-04-01,2024,Q2,9.43,6.22,2454,100.8,8.83,1,40.67,84.95,1.9,31,29,5,-0.94,135.57
STR-07,Kolkata,East,2024-04-01,2024,Q2,17.1,4.5,2469,97.38,11.19,1,32.35,81.95,0.6,18,14,7,2.88,145.74
STR-08,Ahmedabad,West,2024-04-01,2024,Q2,9.11,8.69,1500,104.49,2.05,1,64.43,91.0,0.79,56,48,27,8.53,130.13
STR-09,Jaipur,North,2024-04-01,2024,Q2,9.32,12.19,2348,102.03,11.85,1,45.74,95.08,1.01,46,32,27,2.42,157.44
STR-10,Kochi,South,2024-04-01,2024,Q2,8.68,7.14,2553,96.78,2.3,1,45.17,78.4,0.79,37,37,25,4.99,132.71
STR-01,Mumbai,West,2024-05-01,2024,Q2,17.56,6.17,1222,101.94,3.26,0,37.46,92.56,0.8,77,43,19,11.8,110.54
STR-02,Delhi,North,2024-05-01,2024,Q2,5.07,3.17,2339,101.85,3.27,0,66.1,96.49,1.33,84,15,22,-5.44,93.62
STR-03,Bengaluru,South,2024-05-01,2024,Q2,5.86,8.95,1243,102.64,10.36,0,32.69,90.51,0.89,35,46,30,-5.91,92.29
STR-04,Chennai,South,2024-05-01,2024,Q2,15.38,8.54,2266,102.78,9.26,0,53.54,93.93,1.98,42,14,16,0.35,135.31
STR-05,Hyderabad,South,2024-05-01,2024,Q2,5.21,10.96,1832,100.08,2.94,0,65.81,86.3,1.54,51,29,8,11.08,112.62
STR-06,Pune,West,2024-05-01,2024,Q2,8.03,5.0,3292,105.13,4.12,0,49.85,93.4,1.82,75,37,15,0.41,122.64
STR-07,Kolkata,East,2024-05-01,2024,Q2,17.61,10.31,2288,101.7,3.05,0,66.35,96.18,1.71,69,30,6,-7.09,127.81
STR-08,Ahmedabad,West,2024-05-01,2024,Q2,17.64,3.23,1447,99.77,9.19,0,65.73,86.29,1.01,83,23,22,1.94,131.61
STR-09,Jaipur,North,2024-05-01,2024,Q2,11.96,9.02,2397,100.68,3.97,0,46.33,86.28,0.74,80,22,8,4.43,120.53
STR-10,Kochi,South,2024-05-01,2024,Q2,10.77,12.55,2791,96.99,9.54,0,65.48,83.84,0.84,32,51,9,0.53,143.35
STR-01,Mumbai,West,2024-06-01,2024,Q2,12.96,5.59,1232,100.81,11.59,0,56.8,88.41,0.71,18,18,11,-4.93,100.85
STR-02,Delhi,North,2024-06-01,2024,Q2,18.0,11.77,2909,105.85,11.82,0,68.21,79.51,0.75,78,50,13,1.27,151.64
STR-03,Bengaluru,South,2024-06-01,2024,Q2,6.65,11.46,2832,101.42,3.65,0,41.62,81.37,1.79,58,24,21,5.64,117.9
STR-04,Chennai,South,2024-06-01,2024,Q2,10.03,6.71,3072,103.6,9.72,0,39.86,97.77,0.72,43,18,30,-9.59,116.05
STR-05,Hyderabad,South,2024-06-01,2024,Q2,9.5,11.46,2506,100.14,6.5,0,41.32,92.92,1.78,27,33,30,-3.86,121.97
STR-06,Pune,West,2024-06-01,2024,Q2,14.02,5.48,1766,97.61,11.4,0,65.74,94.32,1.3,32,20,18,0.71,132.62
STR-07,Kolkata,East,2024-06-01,2024,Q2,14.12,7.35,1839,97.26,11.52,0,50.32,98.02,0.79,24,24,20,-7.01,122.81
STR-08,Ahmedabad,West,2024-06-01,2024,Q2,9.3,3.3,1888,105.17,5.22,0,55.11,87.77,1.13,23,31,19,-7.51,96.73
STR-09,Jaipur,North,2024-06-01,2024,Q2,21.81,11.18,3024,100.69,3.53,0,66.99,85.17,0.62,66,49,14,7.07,157.59
STR-10,Kochi,South,2024-06-01,2024,Q2,15.59,10.51,2557,98.12,11.24,0,48.64,91.42,0.55,70,32,33,-5.26,145.54
STR-01,Mumbai,West,2024-07-01,2024,Q3,6.06,7.58,2975,97.52,8.32,0,46.93,97.36,1.01,24,26,25,-0.93,114.86
STR-02,Delhi,North,2024-07-01,2024,Q3,16.22,9.0,1089,105.5,5.43,0,38.73,92.24,1.78,48,34,5,-1.21,103.85
STR-03,Bengaluru,South,2024-07-01,2024,Q3,20.17,10.5,1622,101.31,8.6,0,43.49,97.9,1.08,84,41,26,-2.32,132.56
STR-04,Chennai,South,2024-07-01,2024,Q3,14.55,10.2,2433,105.07,6.19,0,56.59,85.19,1.14,50,28,17,-8.98,116.73
STR-05,Hyderabad,South,2024-07-01,2024,Q3,6.56,9.67,1241,102.63,2.2,0,44.41,82.15,1.68,60,50,29,-6.08,88.63
STR-06,Pune,West,2024-07-01,2024,Q3,16.35,4.29,3165,97.39,4.84,0,57.64,97.12,0.84,34,51,20,4.83,140.47
STR-07,Kolkata,East,2024-07-01,2024,Q3,21.2,9.1,2839,102.25,5.2,0,69.09,86.39,1.54,32,32,4,-2.4,144.87
STR-08,Ahmedabad,West,2024-07-01,2024,Q3,19.88,9.1,1843,105.36,10.54,0,44.24,89.44,1.26,46,27,22,-3.98,137.01
STR-09,Jaipur,North,2024-07-01,2024,Q3,9.15,12.13,3382,104.43,11.78,0,60.31,94.06,1.66,79,12,18,-1.05,154.89
STR-10,Kochi,South,2024-07-01,2024,Q3,9.08,9.45,2548,98.58,7.86,0,47.58,82.6,1.73,35,21,29,-7.98,125.12
STR-01,Mumbai,West,2024-08-01,2024,Q3,5.13,6.36,2082,104.39,3.38,0,61.42,80.43,1.12,70,28,33,-7.38,88.17
STR-02,Delhi,North,2024-08-01,2024,Q3,7.62,7.23,1943,105.33,11.81,0,34.65,80.9,1.7,58,19,12,9.24,118.76
STR-03,Bengaluru,South,2024-08-01,2024,Q3,16.28,4.12,2748,97.76,6.23,0,52.98,88.52,1.54,73,43,23,11.81,145.63
STR-04,Chennai,South,2024-08-01,2024,Q3,21.99,8.16,1175,103.28,11.77,0,44.1,87.69,1.17,21,17,5,4.13,131.0
STR-05,Hyderabad,South,2024-08-01,2024,Q3,11.01,10.87,2671,104.21,6.17,0,44.22,93.73,1.71,73,15,18,9.43,136.98
STR-06,Pune,West,2024-08-01,2024,Q3,7.45,11.79,3281,97.54,7.34,0,34.57,79.11,0.55,21,11,17,6.59,125.25
STR-07,Kolkata,East,2024-08-01,2024,Q3,5.59,9.52,2842,97.68,3.47,0,64.71,95.29,1.33,72,28,28,-9.77,114.27
STR-08,Ahmedabad,West,2024-08-01,2024,Q3,11.71,10.38,2428,103.52,7.04,0,60.51,87.76,1.08,33,26,10,-7.0,120.52
STR-09,Jaipur,North,2024-08-01,2024,Q3,17.78,4.19,2876,97.76,3.75,0,63.28,86.37,1.99,21,46,8,3.68,144.16
STR-10,Kochi,South,2024-08-01,2024,Q3,12.63,6.93,1377,105.76,10.73,0,39.31,82.64,1.5,76,50,12,5.63,129.54
STR-01,Mumbai,West,2024-09-01,2024,Q3,14.63,8.51,1898,103.11,2.27,0,33.88,90.63,1.25,72,35,11,-1.95,100.14
STR-02,Delhi,North,2024-09-01,2024,Q3,17.88,11.27,1806,99.85,4.71,0,51.83,84.61,1.37,54,36,24,-10.41,113.97
STR-03,Bengaluru,South,2024-09-01,2024,Q3,5.02,5.12,2455,102.46,3.72,0,65.83,87.87,1.24,77,45,32,-10.57,97.47
STR-04,Chennai,South,2024-09-01,2024,Q3,8.66,8.86,2106,102.8,4.14,0,35.77,82.35,1.16,28,31,9,-8.77,88.88
STR-05,Hyderabad,South,2024-09-01,2024,Q3,19.62,6.2,1794,96.55,5.57,0,42.06,90.82,0.85,40,44,30,10.31,135.24
STR-06,Pune,West,2024-09-01,2024,Q3,6.7,4.07,1032,102.2,3.22,0,64.39,93.84,1.74,23,39,19,11.92,105.53
STR-07,Kolkata,East,2024-09-01,2024,Q3,5.75,7.01,1062,105.49,7.77,0,62.64,81.58,1.97,37,22,18,-0.15,103.77
STR-08,Ahmedabad,West,2024-09-01,2024,Q3,21.51,6.81,2994,101.85,3.28,0,44.2,82.06,0.7,42,43,29,2.14,140.62
STR-09,Jaipur,North,2024-09-01,2024,Q3,11.1,7.09,2043,102.33,11.27,0,67.45,86.22,1.03,45,20,17,1.63,134.33
STR-10,Kochi,South,2024-09-01,2024,Q3,12.85,9.59,1811,99.21,5.46,0,46.39,79.99,0.79,53,30,25,-2.66,117.23
STR-01,Mumbai,West,2024-10-01,2024,Q4,8.65,8.63,2872,98.57,10.27,1,67.25,90.55,1.52,67,52,5,10.69,162.3
STR-02,Delhi,North,2024-10-01,2024,Q4,11.67,12.24,3296,96.05,2.39,1,57.86,89.82,0.59,55,23,26,8.45,151.8
STR-03,Bengaluru,South,2024-10-01,2024,Q4,13.44,7.66,2076,103.87,5.31,1,65.39,85.83,1.37,15,10,12,-8.15,124.14
STR-04,Chennai,South,2024-10-01,2024,Q4,18.17,7.97,1458,105.65,11.64,1,64.51,81.94,1.41,52,51,30,-3.01,154.22
STR-05,Hyderabad,South,2024-10-01,2024,Q4,6.72,11.11,2214,101.64,11.82,1,55.07,86.92,1.09,48,13,16,-9.16,132.82
STR-06,Pune,West,2024-10-01,2024,Q4,18.51,11.38,1079,99.04,10.74,1,32.91,88.93,1.22,34,27,24,-8.08,138.88
STR-07,Kolkata,East,2024-10-01,2024,Q4,16.36,6.77,2956,96.4,6.62,1,51.85,82.5,0.75,58,33,9,-3.74,149.53
STR-08,Ahmedabad,West,2024-10-01,2024,Q4,6.65,12.47,1416,104.09,11.74,1,35.07,91.69,1.81,43,47,23,-1.7,139.54
STR-09,Jaipur,North,2024-10-01,2024,Q4,12.33,3.36,1431,105.94,11.59,1,33.54,92.82,0.99,52,31,31,-10.92,126.14
STR-10,Kochi,South,2024-10-01,2024,Q4,20.91,11.37,3271,96.6,10.35,1,37.92,89.23,1.88,23,47,21,-2.47,187.02
STR-01,Mumbai,West,2024-11-01,2024,Q4,12.57,3.63,1347,99.11,3.89,1,42.87,98.25,0.69,82,38,30,4.99,120.0
STR-02,Delhi,North,2024-11-01,2024,Q4,19.11,12.76,2510,105.43,3.27,1,62.24,89.46,1.34,73,51,30,11.32,168.82
STR-03,Bengaluru,South,2024-11-01,2024,Q4,16.98,7.83,2087,99.86,5.62,1,46.88,79.88,0.66,46,33,27,-1.29,135.91
STR-04,Chennai,South,2024-11-01,2024,Q4,20.82,9.12,1125,97.58,4.06,1,69.08,82.59,1.3,17,37,32,11.45,155.06
STR-05,Hyderabad,South,2024-11-01,2024,Q4,9.02,3.49,1824,96.63,3.95,1,53.61,97.16,1.33,25,37,22,-7.16,115.68
STR-06,Pune,West,2024-11-01,2024,Q4,18.61,9.18,2595,105.49,5.48,1,35.44,82.74,1.18,75,35,32,-2.92,150.7
STR-07,Kolkata,East,2024-11-01,2024,Q4,18.1,8.4,2000,99.21,8.53,1,57.57,87.13,0.88,27,42,25,-7.95,148.08
STR-08,Ahmedabad,West,2024-11-01,2024,Q4,20.92,4.88,3038,100.98,7.2,1,51.31,87.17,1.99,22,12,18,-0.53,168.79
STR-09,Jaipur,North,2024-11-01,2024,Q4,12.17,3.67,2808,98.28,8.38,1,33.93,98.61,1.23,56,30,30,-0.59,151.8
STR-10,Kochi,South,2024-11-01,2024,Q4,6.03,11.22,2771,103.82,6.28,1,56.24,95.98,1.47,60,21,14,3.9,151.37
STR-01,Mumbai,West,2024-12-01,2024,Q4,16.42,12.61,2733,100.25,10.12,0,51.22,93.47,1.22,40,31,10,5.88,147.7
STR-02,Delhi,North,2024-12-01,2024,Q4,7.23,4.99,1872,103.47,10.95,0,42.36,80.33,1.94,58,44,8,-7.26,103.26
STR-03,Bengaluru,South,2024-12-01,2024,Q4,9.95,8.29,1391,103.61,9.08,0,38.66,85.51,1.24,76,44,8,-5.44,101.22
STR-04,Chennai,South,2024-12-01,2024,Q4,10.24,4.27,2739,103.05,2.7,0,50.28,94.43,1.63,53,12,28,-1.24,113.3
STR-05,Hyderabad,South,2024-12-01,2024,Q4,18.95,5.41,1783,97.76,6.67,0,46.9,83.06,1.64,40,15,13,-5.45,119.74
STR-06,Pune,West,2024-12-01,2024,Q4,7.23,7.39,2723,99.69,4.36,0,61.0,97.53,1.27,36,36,23,8.81,129.61
STR-07,Kolkata,East,2024-12-01,2024,Q4,21.98,9.14,2047,105.09,9.91,0,49.52,79.7,0.57,77,34,18,-0.14,142.64
STR-08,Ahmedabad,West,2024-12-01,2024,Q4,11.93,8.68,2885,104.37,3.09,0,40.56,94.65,1.78,53,42,33,8.95,140.95
STR-09,Jaipur,North,2024-12-01,2024,Q4,20.13,6.14,1233,98.68,8.06,0,67.67,85.24,1.36,43,35,12,-7.92,127.73
STR-10,Kochi,South,2024-12-01,2024,Q4,8.32,3.58,2537,100.03,10.34,0,57.89,82.03,0.8,81,18,28,-5.65,124.76
STR-01,Mumbai,West,2025-01-01,2025,Q1,20.53,4.4,1678,108.14,4.35,0,42.5,98.25,0.93,62,8,16,-1.62,108.03
STR-02,Delhi,North,2025-01-01,2025,Q1,9.3,10.76,2482,103.78,10.35,0,40.1,78.09,1.38,69,24,33,-11.07,115.39
STR-03,Bengaluru,South,2025-01-01,2025,Q1,8.54,8.19,2795,100.89,5.95,0,60.39,85.8,0.82,71,15,9,-2.16,113.9
STR-04,Chennai,South,2025-01-01,2025,Q1,13.15,11.62,2269,106.9,11.83,0,47.65,86.47,1.89,59,11,11,5.52,142.97
STR-05,Hyderabad,South,2025-01-01,2025,Q1,17.83,3.98,1976,102.01,3.85,0,49.63,84.08,1.7,47,17,31,7.27,129.78
STR-06,Pune,West,2025-01-01,2025,Q1,9.52,5.74,1208,101.35,11.44,0,47.28,82.72,1.78,32,36,15,-11.16,104.16
STR-07,Kolkata,East,2025-01-01,2025,Q1,7.75,9.39,2027,102.11,11.17,0,64.34,95.82,0.88,69,31,5,8.82,135.82
STR-08,Ahmedabad,West,2025-01-01,2025,Q1,10.2,9.19,2298,101.28,9.81,0,67.66,93.3,1.19,68,10,30,0.66,140.18
STR-09,Jaipur,North,2025-01-01,2025,Q1,17.66,11.21,1319,102.88,3.18,0,41.06,88.56,1.28,67,30,21,-2.52,119.07
STR-10,Kochi,South,2025-01-01,2025,Q1,18.38,12.13,2976,107.37,8.78,0,51.88,81.96,1.7,32,28,32,5.32,166.2
STR-01,Mumbai,West,2025-02-01,2025,Q1,20.6,12.84,1920,106.38,6.74,0,69.49,79.97,1.15,39,35,30,-5.18,132.64
STR-02,Delhi,North,2025-02-01,2025,Q1,18.39,6.83,2486,108.84,5.01,0,61.27,85.07,1.43,83,21,23,7.91,139.24
STR-03,Bengaluru,South,2025-02-01,2025,Q1,5.42,5.2,3287,105.64,6.96,0,34.1,85.31,1.8,64,41,4,-2.49,111.44
STR-04,Chennai,South,2025-02-01,2025,Q1,21.07,3.51,1835,102.58,10.67,0,60.35,96.6,0.86,67,32,19,6.7,145.71
STR-05,Hyderabad,South,2025-02-01,2025,Q1,9.18,5.31,1960,109.59,9.1,0,56.15,93.62,1.32,16,12,18,-1.21,111.98
STR-06,Pune,West,2025-02-01,2025,Q1,15.89,5.02,945,108.12,5.5,0,53.99,80.96,1.96,77,15,31,10.13,125.23
STR-07,Kolkata,East,2025-02-01,2025,Q1,10.65,4.69,1656,100.9,3.2,0,34.71,98.79,0.66,29,9,7,7.85,100.63
STR-08,Ahmedabad,West,2025-02-01,2025,Q1,14.86,10.74,996,108.82,8.38,0,51.84,92.97,1.2,59,39,14,-0.78,121.64
STR-09,Jaipur,North,2025-02-01,2025,Q1,7.89,10.97,2932,101.54,4.46,0,64.0,84.93,1.54,33,37,29,-10.13,124.48
STR-10,Kochi,South,2025-02-01,2025,Q1,18.01,6.08,2857,106.89,11.1,0,43.21,89.95,0.97,30,23,20,2.92,151.38
STR-01,Mumbai,West,2025-03-01,2025,Q1,15.38,9.24,3305,106.94,8.75,1,57.94,79.56,1.2,24,10,16,-9.92,144.78
STR-02,Delhi,North,2025-03-01,2025,Q1,8.78,7.41,3065,102.37,10.3,1,52.74,93.97,1.24,67,32,18,2.87,153.4
STR-03,Bengaluru,South,2025-03-01,2025,Q1,20.78,7.92,3394,106.02,9.38,1,34.73,88.83,1.25,52,31,31,-0.16,170.57
STR-04,Chennai,South,2025-03-01,2025,Q1,12.96,12.62,2234,101.81,4.17,1,35.62,78.01,1.18,46,24,27,5.6,140.93
